"Category Name","Category Slug"
"Perfumes","perfumes"
"Jewelry","jewelry-gift-by-categories"
"Electronics","electronics-gift-by-categories"
"Handbags","handbags"
"Fashion","fashion"
"Home & Living","home-living-gift-by-categories"
"Mithais","mithais"
"Gift By Categories","gift-by-categories"
"Sweet Delight","sweet-delight"
"Mother's Day Special","mothers-day-special"
"Birthday Perfumes","birthday-perfumes"
"Home & Living","home-living"
"Electronics","electronics"
"Jewelry","jewelry"
"Personal Care","personal-care"
"Girl","girl"
"Boy","boy"
"Women","women"
"men","men"
"Home Appliances","home-appliances"
"Jewelry Gifts","jewelry-gifts"
"Jewelry Boxes","jewelry-boxes"
"Flower Vases","flower-vases"
"Time Pieces","time-pieces"
"Photo Frames","photo-frames-utility-gifts-anniversary"
"God Idols","god-idols"
"Fixed Time Delivery","fixed-time-delivery"
"Next Day Delivery","next-day-delivery"
"Same Day Delivery","same-day-delivery"
"Express Delivery","express-delivery"
"Personalised Gifts","personalized-gifts-2"
"Quirky Gifts","quirky-gifts"
"Combos","combos"
"Cakes","cakes-flowers-cakes"
"Flowers","flowers-flowers-cakes"
"Flowers & Cakes","flowers-cakes"
"Home Decor Hamper","home-decor-hamper"
"Grooming Hampers","grooming-hampers"
"Teddies & Chocolates","teddies-chocolates"
"Mugs & Cushions","mugs-cushions-gift-hampers"
"Romantic Hampers","romantic-hampers"
"Flower Hampers","flower-hampers"
"Candle & Incense","candle-incense"
"Love Couples","love-couples"
"Greeting Cards","greeting-cards"
"Anniversary Personalised Gifts","personalized-gifts"
"Chocolates","chocolates-popular-gifts-anniversary"
"Eggless Cakes","eggless-cakes-popular-gifts-anniversary"
"Anniversary Cakes","cakes-popular-gifts-anniversary"
"Anniversary Flowers","flowers-popular-gifts-anniversary"
"Best Below 999","best-below-999-special-collection"
"Best Sellers","best-sellers-special-collection"
"Gift Vouchers","gift-vouchers-special-collection"
"Cool Gifts","cool-gifts"
"Green Gifts","green-gifts"
"Anniversary Perfumes","perfumes-special-collection"
"Silver & Gold Gifts","silver-gold-gifts"
"Show Pieces","show-pieces"
"Anniversary Premium Gifts","premium-gifts-special-collection"
"Anniversary Utility Gifts","utility-gifts-anniversary"
"Gift Hampers","gift-hampers"
"Anniversary Popular Gifts","popular-gifts-anniversary"
"Special Collection","special-collection"
"Anniversary Gifts for Wife","gifts-for-wife"
"Anniversary Gifts for Husband","gifts-for-husband"
"Gifts For Couple","gifts-for-couple"
"Gifts for her","gifts-for-her"
"Gifts for him","gifts-for-him"
"Gifts By Gender","gifts-by-gender"
"Birthday Gift Vouchers","gift-vouchers"
"Birthday Premium Gifts","premium-gifts"
"Home & Livings","home-livings"
"Photo Frames","photo-frames"
"Handbags & Wallets","handbags-wallets"
"Best Below 999","best-below-999"
"Best Sellers","best-sellers"
"Mugs & Cushions","mugs-cushions"
"Eggless Cakes","eggless-cakes"
"Chocolates","chocolates"
"Birthday Cakes","cakes"
"Birthday Flowers","flowers-birthday"
"Wife","wife"
"Husband","husband"
"Father","father"
"Mother","mother"
"Friend","friend"
"Sister","sister"
"Brother","brother"
"GirlFriend","girl-friend-birthday"
"Boy friend","boy-friend-birthday"
"Birthday Utility Gifts","utility-gifts-birthday"
"Birthday Popular Gifts","popular-gifts-birthday"
"By Relation","by-relation"
"Motivational Gifts","motivational-gifts"
"Thinking About You","thinking-about-you"
"Thankyou Gifts","thankyou-gifts"
"So Sorry Gifts","so-sorry-gifts"
"Get Well Soon","get-well-soon"
"Bachelors Party","bachelors-party"
"Promotions","promotions"
"Farewell","farewell"
"Wedding & Engagement","wedding-engagement"
"Anniversary","anniversary"
"Birthday","birthday"
"Gifts by Occasion","gifts-by-occasion"
